,Unnamed: 0,Unnamed: 0.1,team,opponent,week,home,away,points_for,points_against,over_under,yards_per_play_offense,yards_allowed_per_defensive_play,total_yards,total_yards_allowed,turnovers_lost,sacks,times_sacked,win?,loss?,covered_spread?,opponent_covered_spread?,game_id,total_wins,total_losses,spread,opponent_spread,favorite,underdog,rushing_attempts,rushing_yards,rushing_yards_per_attempt,time_of_possession,penalty_yards,passing_yards_per_attempt,FGA,FGM
73,77,73,BRONCOS,PACKERS,3,0,1,16,27,42.0,4.2466,6.0,310,312,3,0,6,0,1,0,1,224,0,3,7.5,-7.5,0,1,38.0,149.0,3.92,0.5927777777777778,27.0,5.551724137931035,1.0,1.0
74,78,74,LIONS,EAGLES,3,0,1,27,24,45.0,4.7833,5.4058,287,373,0,3,0,1,0,1,0,225,2,0,4.0,-4.0,0,1,28.0,86.0,3.07,0.4616666666666666,61.0,6.28125,3.0,2.0
75,79,75,PACKERS,BRONCOS,3,1,0,27,16,42.0,6.0,4.24657534246575,312,310,0,6,0,1,0,1,0,224,3,0,-7.5,7.5,1,0,23.0,77.0,3.35,0.40722222222222215,53.0,8.103448275862071,3.0,2.0
76,80,76,TEXANS,CHARGERS,3,0,1,27,20,49.0,6.8364,5.3043,376,366,1,5,2,1,0,1,0,226,2,1,3.5,-3.5,0,1,19.0,39.0,2.05,0.47,65.0,9.911764705882351,1.0,0.0
77,81,77,COLTS,FALCONS,3,1,0,27,24,48.0,6.112903225806449,7.3518518518518485,379,397,0,0,1,1,0,1,0,220,2,1,-1.5,1.5,1,0,24.0,79.0,3.29,0.5230555555555556,39.0,8.108108108108109,2.0,2.0
78,82,78,JAGUARS,TITANS,3,1,0,20,7,38.0,5.84,4.5333,292,340,0,9,0,1,0,1,0,234,1,2,1.5,-1.5,0,1,20.0,88.0,4.4,0.4122222222222223,30.0,6.8,2.0,2.0
79,83,79,CHIEFS,RAVENS,3,1,0,33,28,52.0,7.9841269841269815,5.7948717948718,503,452,0,3,1,1,0,1,0,233,3,0,-5.0,5.0,1,0,25.0,140.0,5.6,0.4544444444444444,31.0,9.81081081081081,2.0,2.0
80,84,80,CHARGERS,TEXANS,3,1,0,20,27,49.0,5.30434782608696,6.83636363636364,366,376,1,2,5,0,1,0,1,226,1,2,-3.5,3.5,1,0,18.0,73.0,4.06,0.53,69.0,6.369565217391305,2.0,2.0
81,85,81,RAMS,BROWNS,3,0,1,20,13,48.0,5.375,4.28571428571429,344,270,3,3,2,1,0,1,0,223,3,0,-3.5,3.5,1,0,24.0,90.0,3.75,0.4730555555555554,49.0,6.684210526315789,3.0,2.0
82,86,82,DOLPHINS,COWBOYS,3,0,1,6,31,46.5,4.1618,7.1045,283,476,1,1,3,0,1,0,1,227,0,3,21.5,-21.5,0,1,24.0,72.0,3.0,0.4844444444444445,35.0,5.146341463414634,3.0,2.0
83,87,83,VIKINGS,RAIDERS,3,1,0,34,14,43.0,6.52542372881356,5.20689655172414,385,302,0,4,0,1,0,1,0,232,2,1,-9.0,9.0,1,0,38.0,211.0,5.55,0.5255555555555556,59.0,8.285714285714286,2.0,2.0
84,88,84,SAINTS,SEAHAWKS,3,0,1,33,27,44.0,5.3,6.7632,265,514,1,0,0,1,0,1,0,228,2,1,5.0,-5.0,0,1,23.0,88.0,3.83,0.4741666666666667,70.0,6.5555555555555545,0.0,0.0
85,89,85,PATRIOTS,JETS,3,1,0,30,14,43.0,5.21917808219178,2.23404255319149,381,105,2,5,1,1,0,0,1,230,3,0,-21.0,21.0,1,0,27.0,68.0,2.52,0.5872222222222222,70.0,6.955555555555557,1.0,1.0
86,90,86,GIANTS,BUCCANEERS,3,0,1,32,31,48.0,6.4,6.8356,384,499,2,4,5,1,0,1,0,229,1,2,5.0,-5.0,0,1,19.0,72.0,3.79,0.44666666666666666,59.0,8.666666666666666,1.0,1.0
87,91,87,JETS,PATRIOTS,3,0,1,14,30,43.0,2.234,5.2192,105,381,1,1,5,0,1,1,0,230,0,3,21.0,-21.0,0,1,20.0,36.0,1.8,0.4127777777777778,67.0,3.136363636363636,0.0,0.0
88,92,88,RAIDERS,VIKINGS,3,0,1,14,34,43.0,5.2069,6.5254,302,385,1,0,4,0,1,0,1,232,1,2,9.0,-9.0,0,1,20.0,88.0,4.4,0.4744444444444445,84.0,6.294117647058822,1.0,0.0
89,93,89,EAGLES,LIONS,3,1,0,24,27,45.0,5.40579710144928,4.7833333333333306,373,287,2,0,3,0,1,0,1,225,1,2,-4.0,4.0,1,0,30.0,127.0,4.23,0.5383333333333333,30.0,6.833333333333332,1.0,1.0
90,94,90,STEELERS,49ERS,3,0,1,20,24,44.5,4.6863,5.9726,239,436,2,1,2,0,1,1,0,231,0,3,6.5,-6.5,0,1,22.0,79.0,3.59,0.3952777777777778,42.0,5.925925925925926,2.0,2.0
91,95,91,SEAHAWKS,SAINTS,3,1,0,27,33,44.0,6.76315789473684,5.3,514,265,1,0,0,0,1,0,1,228,2,1,-5.0,5.0,1,0,26.0,108.0,4.15,0.5258333333333334,53.0,8.12,0.0,0.0
92,96,92,49ERS,STEELERS,3,1,0,24,20,44.5,5.972602739726031,4.68627450980392,436,239,5,2,1,1,0,0,1,231,3,0,-6.5,6.5,1,0,40.0,168.0,4.2,0.6047222222222222,71.0,8.375,1.0,1.0
93,97,93,BUCCANEERS,GIANTS,3,1,0,31,32,48.0,6.835616438356169,6.4,499,384,1,5,4,0,1,0,1,229,1,2,-5.0,5.0,1,0,32.0,144.0,4.5,0.5533333333333333,30.0,9.594594594594595,5.0,4.0
94,98,94,TITANS,JAGUARS,3,0,1,7,20,38.0,4.5333333333333306,5.84,340,292,1,0,9,0,1,0,1,234,1,2,-1.5,1.5,1,0,26.0,91.0,3.5,0.5877777777777777,101.0,6.225,0.0,0.0
95,99,95,REDSKINS,BEARS,3,1,0,15,31,41.0,5.2353,5.1379,356,298,5,3,4,0,1,0,1,219,0,3,5.0,-5.0,0,1,21.0,69.0,3.29,0.4733333333333333,61.0,6.674418604651162,2.0,1.0
96,100,96,CARDINALS,SEAHAWKS,4,1,0,10,27,49.0,5.4407,5.7627,321,340,1,4,4,0,1,0,1,209,0,3,5.5,-5.5,0,1,23.0,115.0,5.0,0.44333333333333336,44.0,6.4375,3.0,1.0
97,101,97,FALCONS,TITANS,4,1,0,10,24,46.0,5.62666666666667,5.98360655737705,422,365,1,0,5,0,1,0,1,214,1,3,-3.0,3.0,1,0,17.0,58.0,3.41,0.5113888888888889,50.0,6.867924528301888,2.0,1.0
98,102,98,RAVENS,BROWNS,4,1,0,25,40,47.0,5.8955223880597005,8.68852459016394,395,530,3,1,4,0,1,0,1,208,2,2,-7.5,7.5,1,0,29.0,173.0,5.97,0.4952777777777778,15.0,6.529411764705883,1.0,1.0
99,103,99,BILLS,PATRIOTS,4,1,0,10,16,41.5,5.2817,3.6129,375,224,4,0,5,0,1,1,0,205,3,1,7.0,-7.0,0,1,22.0,135.0,6.14,0.5444444444444444,76.0,5.454545454545454,2.0,1.0
100,104,100,PANTHERS,TEXANS,4,0,1,16,10,47.5,4.5692,4.2581,297,264,3,6,3,1,0,1,0,206,2,2,5.5,-5.5,0,1,28.0,94.0,3.36,0.5105555555555555,35.0,5.970588235294117,3.0,3.0
101,105,101,BEARS,VIKINGS,4,1,0,16,6,38.0,4.0149,3.8276,269,222,0,6,1,1,0,1,0,207,3,1,-1.0,1.0,1,0,33.0,72.0,2.18,0.5908333333333333,50.0,5.96969696969697,3.0,3.0
102,106,102,BENGALS,STEELERS,4,0,1,3,27,45.5,2.7344,5.8214,175,326,2,0,8,0,1,0,1,204,0,4,3.5,-3.5,0,1,19.0,73.0,3.84,0.5038888888888889,60.0,2.756756756756757,1.0,1.0
103,107,103,BROWNS,RAVENS,4,0,1,40,25,47.0,8.6885,5.8955,530,395,1,4,1,1,0,1,0,208,2,2,7.5,-7.5,0,1,29.0,193.0,6.66,0.5047222222222222,41.0,10.870967741935484,2.0,2.0
104,108,104,COWBOYS,SAINTS,4,0,1,10,12,47.0,4.75925925925926,4.29032258064516,257,266,3,5,1,0,1,0,1,213,3,1,-2.5,2.5,1,0,20.0,45.0,2.25,0.39888888888888896,64.0,6.424242424242424,1.0,1.0
