,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
81,79,ARI,2019,2019-12-01,4:05,2:05,Home,LAR,13,12,Sun,L 7-34,,7,34,-27,41,2.5,not covered,47.0,under,19,34,55.9,124,0,1,6,39,51.6,21,74,3.52,1,198,61,3.2459,76,7.2237,1,25:23,3:01
82,80,DEN,2019,2019-12-01,4:25,2:25,Home,LAC,13,12,Sun,W 23-20,,23,20,3,43,4.5,covered,39.0,over,18,28,64.3,134,2,1,0,0,84.5,25,84,3.36,0,218,53,4.1132,61,5.8852,1,27:51,3:01
84,81,HOU,2019,2019-12-01,8:20,7:20,Home,NWE,13,12,Sun,W 28-22,,28,22,6,50,3.5,covered,47.0,over,19,26,73.1,224,4,0,3,16,138.5,23,52,2.26,0,276,52,5.3077,79,5.6709,,25:25,3:16
85,82,JAX,2019,2019-12-01,1:00,1:00,Home,TAM,13,12,Sun,L 11-28,,11,28,-17,39,3.0,not covered,46.5,under,23,41,56.1,193,1,2,5,47,56.3,17,49,2.88,0,242,63,3.8413,68,4.6324,4,26:28,3:20
86,83,MIA,2019,2019-12-01,1:00,1:00,Home,PHI,13,12,Sun,W 37-31,,37,31,6,68,10.5,covered,45.0,over,28,40,70.0,351,4,1,3,15,119.9,20,58,2.90,1,409,63,6.4921,67,5.7612,1,31:18,3:27
87,84,NYG,2019,2019-12-01,1:00,1:00,Home,GNB,13,12,Sun,L 13-31,,13,31,-18,44,6.5,not covered,43.5,over,20,37,54.1,240,1,3,0,0,49.4,27,95,3.52,0,335,64,5.2344,59,5.4576,3,31:17,2:56
88,85,PIT,2019,2019-12-01,1:00,1:00,Home,CLE,13,12,Sun,W 20-13,,20,13,7,33,1.0,covered,40.0,under,14,21,66.7,199,1,1,1,13,93.2,32,124,3.88,1,323,54,5.9815,63,4.4286,1,27:54,3:10
89,86,OAK,2019,2019-12-01,4:25,3:25,Away,KAN,13,12,Sun,L 9-40,,9,40,-31,49,11.5,not covered,49.5,under,20,30,66.7,210,1,2,2,12,70.1,25,122,4.88,0,332,57,5.8246,59,4.3898,3,31:41,2:53
90,87,SFO,2019,2019-12-01,1:00,1:00,Away,BAL,13,12,Sun,L 17-20,,17,20,-3,37,5.5,covered,45.0,under,15,21,71.4,157,1,0,2,8,108.6,29,174,6.00,1,331,52,6.3654,62,4.5645,1,27:34,2:56
91,88,WAS,2019,2019-12-01,1:00,1:00,Away,CAR,13,12,Sun,W 29-21,,29,21,8,50,10.5,covered,38.5,over,13,25,52.0,114,0,0,5,33,64.4,30,248,8.27,3,362,60,6.0333,73,3.8082,,30:37,3:32
92,89,ATL,2019,2019-11-28,8:20,8:20,Home,NOR,13,12,Thu,L 18-26,,18,26,-8,44,7.0,not covered,48.0,under,35,50,70.0,259,2,2,9,53,78.7,26,89,3.42,0,348,85,4.0941,49,5.6939,3,35:37,3:12
93,90,BUF,2019,2019-11-28,4:30,3:30,Away,DAL,13,12,Thu,W 26-15,,26,15,11,41,6.5,covered,46.5,under,20,25,80.0,232,2,0,4,27,132.0,34,124,3.65,1,356,63,5.6508,72,5.9167,,33:18,3:11
